63 | 0 2 12 76
63 | 0 2 12 77
63 | 0 2 13 78
63 | 0 2 13 79
63 | 0 2 14 76
63 | 0 2 14 78
63 | 0 2 15 77
63 | 0 2 15 79
73 | 0 2 24 46
73 | 0 2 24 47
72 | 0 2 25 46
72 | 0 2 25 47
75 | 0 2 26 44
75 | 0 2 26 45
74 | 0 2 27 44
74 | 0 2 27 45
65 | 0 2 32 46
65 | 0 2 32 47
64 | 0 2 33 46
64 | 0 2 33 47
67 | 0 2 34 44
67 | 0 2 34 45
66 | 0 2 35 44
66 | 0 2 35 45
62 | 0 3 12 76
62 | 0 3 12 77
62 | 0 3 13 78
62 | 0 3 13 79
62 | 0 3 14 76
62 | 0 3 14 78
62 | 0 3 15 77
62 | 0 3 15 79
69 | 0 3 24 46
69 | 0 3 24 47
68 | 0 3 25 46
68 | 0 3 25 47
71 | 0 3 26 44
71 | 0 3 26 45
70 | 0 3 27 44
70 | 0 3 27 45
65 | 0 3 28 46
65 | 0 3 28 47
64 | 0 3 29 46
64 | 0 3 29 47
67 | 0 3 30 44
67 | 0 3 30 45
66 | 0 3 31 44
66 | 0 3 31 45
65 | 0 4 10 70
65 | 0 4 10 71
65 | 0 4 11 74
65 | 0 4 11 75
65 | 0 4 14 70
65 | 0 4 14 74
65 | 0 4 15 71
65 | 0 4 15 75
73 | 0 4 22 46
73 | 0 4 22 47
69 | 0 4 23 46
69 | 0 4 23 47
79 | 0 4 26 42
79 | 0 4 26 43
78 | 0 4 27 42
78 | 0 4 27 43
63 | 0 4 29 46
63 | 0 4 29 47
62 | 0 4 33 46
62 | 0 4 33 47
67 | 0 4 38 42
67 | 0 4 38 43
66 | 0 4 39 42
66 | 0 4 39 43
64 | 0 5 10 70
64 | 0 5 10 71
64 | 0 5 11 74
64 | 0 5 11 75
64 | 0 5 14 70
64 | 0 5 14 74
64 | 0 5 15 71
64 | 0 5 15 75
72 | 0 5 22 46
72 | 0 5 22 47
68 | 0 5 23 46
68 | 0 5 23 47
77 | 0 5 26 42
77 | 0 5 26 43
76 | 0 5 27 42
76 | 0 5 27 43
63 | 0 5 28 46
63 | 0 5 28 47
62 | 0 5 32 46
62 | 0 5 32 47
67 | 0 5 36 42
67 | 0 5 36 43
66 | 0 5 37 42
66 | 0 5 37 43
67 | 0 6 10 68
67 | 0 6 10 69
67 | 0 6 11 72
67 | 0 6 11 73
67 | 0 6 12 68
67 | 0 6 12 72
67 | 0 6 13 69
67 | 0 6 13 73
75 | 0 6 22 44
75 | 0 6 22 45
71 | 0 6 23 44
71 | 0 6 23 45
79 | 0 6 24 42
79 | 0 6 24 43
77 | 0 6 25 42
77 | 0 6 25 43
63 | 0 6 31 44
63 | 0 6 31 45
62 | 0 6 35 44
62 | 0 6 35 45
65 | 0 6 37 42
65 | 0 6 37 43
64 | 0 6 39 42
64 | 0 6 39 43
66 | 0 7 10 68
66 | 0 7 10 69
66 | 0 7 11 72
66 | 0 7 11 73
66 | 0 7 12 68
66 | 0 7 12 72
66 | 0 7 13 69
66 | 0 7 13 73
74 | 0 7 22 44
74 | 0 7 22 45
70 | 0 7 23 44
70 | 0 7 23 45
78 | 0 7 24 42
78 | 0 7 24 43
76 | 0 7 25 42
76 | 0 7 25 43
63 | 0 7 30 44
63 | 0 7 30 45
62 | 0 7 34 44
62 | 0 7 34 45
65 | 0 7 36 42
65 | 0 7 36 43
64 | 0 7 38 42
64 | 0 7 38 43
65 | 0 8 28 70
65 | 0 8 28 71
63 | 0 8 28 76
63 | 0 8 28 77
64 | 0 8 29 70
64 | 0 8 29 71
63 | 0 8 29 78
63 | 0 8 29 79
67 | 0 8 30 68
67 | 0 8 30 69
63 | 0 8 30 76
63 | 0 8 30 78
66 | 0 8 31 68
66 | 0 8 31 69
63 | 0 8 31 77
63 | 0 8 31 79
65 | 0 8 32 74
65 | 0 8 32 75
62 | 0 8 32 76
62 | 0 8 32 77
64 | 0 8 33 74
64 | 0 8 33 75
