99 | 0 3 15 32 114
99 | 0 3 15 32 115
92 | 0 3 15 39 114
92 | 0 3 15 39 115
99 | 1 3 15 24 114
99 | 1 3 15 24 115
80 | 1 3 15 49 118
80 | 1 3 15 49 119
96 | 1 13 15 24 116
96 | 1 13 15 24 117
108 | 1 13 15 39 94
108 | 1 13 15 39 95
98 | 1 13 30 53 94
98 | 1 13 30 53 95
98 | 1 13 31 49 94
98 | 1 13 31 49 95
85 | 1 13 42 52 106
85 | 1 13 42 52 107
84 | 1 13 43 49 106
84 | 1 13 43 49 107
