105 | 0 2 14 32 110
105 | 0 2 14 32 111
104 | 0 2 14 33 110
104 | 0 2 14 33 111
89 | 0 2 14 52 116
89 | 0 2 14 52 117
89 | 0 2 14 53 118
89 | 0 2 14 53 119
105 | 0 2 15 32 114
105 | 0 2 15 32 115
104 | 0 2 15 33 114
104 | 0 2 15 33 115
89 | 0 2 15 48 116
89 | 0 2 15 48 117
89 | 0 2 15 49 118
89 | 0 2 15 49 119
77 | 0 2 29 48 110
77 | 0 2 29 48 111
76 | 0 2 29 49 110
76 | 0 2 29 49 111
75 | 0 2 29 49 118
75 | 0 2 29 49 119
76 | 0 2 29 53 114
76 | 0 2 29 53 115
113 | 0 2 30 44 68
113 | 0 2 30 44 69
112 | 0 2 30 45 68
112 | 0 2 30 45 69
105 | 0 2 30 52 68
105 | 0 2 30 52 69
104 | 0 2 30 53 68
104 | 0 2 30 53 69
108 | 0 2 31 45 68
108 | 0 2 31 45 69
105 | 0 2 31 48 68
105 | 0 2 31 48 69
104 | 0 2 31 49 68
104 | 0 2 31 49 69
99 | 0 3 14 32 110
99 | 0 3 14 32 111
98 | 0 3 14 33 110
98 | 0 3 14 33 111
93 | 0 3 14 38 110
93 | 0 3 14 38 111
92 | 0 3 14 39 110
92 | 0 3 14 39 111
88 | 0 3 14 52 116
88 | 0 3 14 52 117
88 | 0 3 14 53 118
88 | 0 3 14 53 119
99 | 0 3 15 32 114
99 | 0 3 15 32 115
98 | 0 3 15 33 114
98 | 0 3 15 33 115
93 | 0 3 15 38 114
93 | 0 3 15 38 115
92 | 0 3 15 39 114
92 | 0 3 15 39 115
88 | 0 3 15 48 116
88 | 0 3 15 48 117
88 | 0 3 15 49 118
88 | 0 3 15 49 119
77 | 0 3 28 48 110
77 | 0 3 28 48 111
76 | 0 3 28 49 110
76 | 0 3 28 49 111
75 | 0 3 28 49 118
75 | 0 3 28 49 119
76 | 0 3 28 53 114
76 | 0 3 28 53 115
113 | 0 3 30 38 68
113 | 0 3 30 38 69
112 | 0 3 30 39 68
112 | 0 3 30 39 69
99 | 0 3 30 52 68
99 | 0 3 30 52 69
98 | 0 3 30 53 68
98 | 0 3 30 53 69
109 | 0 3 31 38 68
109 | 0 3 31 38 69
108 | 0 3 31 39 68
108 | 0 3 31 39 69
99 | 0 3 31 48 68
99 | 0 3 31 48 69
98 | 0 3 31 49 68
98 | 0 3 31 49 69
93 | 0 3 36 52 68
93 | 0 3 36 52 69
92 | 0 3 36 53 68
92 | 0 3 36 53 69
93 | 0 3 37 48 68
93 | 0 3 37 48 69
92 | 0 3 37 49 68
92 | 0 3 37 49 69
103 | 0 12 14 32 116
103 | 0 12 14 32 117
103 | 0 12 14 33 118
103 | 0 12 14 33 119
113 | 0 12 14 44 86
113 | 0 12 14 44 87
112 | 0 12 14 45 86
112 | 0 12 14 45 87
102 | 0 12 15 32 116
102 | 0 12 15 32 117
102 | 0 12 15 33 118
102 | 0 12 15 33 119
109 | 0 12 15 44 86
109 | 0 12 15 44 87
