197 | 0 2 18 41 89 96 218
197 | 0 2 18 41 89 96 219
194 | 0 2 18 41 89 96 220
194 | 0 2 18 41 89 96 221
207 | 0 2 18 44 66 84 220
207 | 0 2 18 44 66 84 221
207 | 0 2 18 44 66 85 222
207 | 0 2 18 44 66 85 223
217 | 0 2 18 44 66 96 190
217 | 0 2 18 44 66 96 191
216 | 0 2 18 44 66 97 190
216 | 0 2 18 44 66 97 191
206 | 0 2 18 44 67 84 220
206 | 0 2 18 44 67 84 221
206 | 0 2 18 44 67 85 222
206 | 0 2 18 44 67 85 223
213 | 0 2 18 44 67 96 190
213 | 0 2 18 44 67 96 191
212 | 0 2 18 44 67 97 190
212 | 0 2 18 44 67 97 191
209 | 0 2 18 44 67 100 190
209 | 0 2 18 44 67 100 191
208 | 0 2 18 44 67 101 190
208 | 0 2 18 44 67 101 191
181 | 0 2 18 44 82 96 214
181 | 0 2 18 44 82 96 215
180 | 0 2 18 44 82 97 214
180 | 0 2 18 44 82 97 215
177 | 0 2 18 44 82 104 220
177 | 0 2 18 44 82 104 221
177 | 0 2 18 44 82 105 222
177 | 0 2 18 44 82 105 223
181 | 0 2 18 44 83 96 218
181 | 0 2 18 44 83 96 219
180 | 0 2 18 44 83 97 218
180 | 0 2 18 44 83 97 219
177 | 0 2 18 44 83 100 220
177 | 0 2 18 44 83 100 221
177 | 0 2 18 44 83 101 222
177 | 0 2 18 44 83 101 223
181 | 0 2 18 44 94 104 190
181 | 0 2 18 44 94 104 191
180 | 0 2 18 44 94 105 190
180 | 0 2 18 44 94 105 191
181 | 0 2 18 44 95 100 190
181 | 0 2 18 44 95 100 191
180 | 0 2 18 44 95 101 190
180 | 0 2 18 44 95 101 191
200 | 0 2 18 45 67 84 220
200 | 0 2 18 45 67 84 221
200 | 0 2 18 45 67 85 222
200 | 0 2 18 45 67 85 223
213 | 0 2 18 45 67 90 190
213 | 0 2 18 45 67 90 191
212 | 0 2 18 45 67 91 190
212 | 0 2 18 45 67 91 191
181 | 0 2 18 45 82 90 214
181 | 0 2 18 45 82 90 215
180 | 0 2 18 45 82 91 214
180 | 0 2 18 45 82 91 215
176 | 0 2 18 45 82 104 220
176 | 0 2 18 45 82 104 221
176 | 0 2 18 45 82 105 222
176 | 0 2 18 45 82 105 223
181 | 0 2 18 45 83 90 218
181 | 0 2 18 45 83 90 219
180 | 0 2 18 45 83 91 218
180 | 0 2 18 45 83 91 219
176 | 0 2 18 45 83 100 220
176 | 0 2 18 45 83 100 221
176 | 0 2 18 45 83 101 222
176 | 0 2 18 45 83 101 223
181 | 0 2 18 45 88 104 190
181 | 0 2 18 45 88 104 191
180 | 0 2 18 45 88 105 190
180 | 0 2 18 45 88 105 191
181 | 0 2 18 45 89 100 190
181 | 0 2 18 45 89 100 191
180 | 0 2 18 45 89 101 190
180 | 0 2 18 45 89 101 191
153 | 0 2 18 80 94 104 220
153 | 0 2 18 80 94 104 221
153 | 0 2 18 80 94 105 222
153 | 0 2 18 80 94 105 223
153 | 0 2 18 80 95 100 220
153 | 0 2 18 80 95 100 221
153 | 0 2 18 80 95 101 222
153 | 0 2 18 80 95 101 223
153 | 0 2 18 81 88 104 220
153 | 0 2 18 81 88 104 221
153 | 0 2 18 81 88 105 222
153 | 0 2 18 81 88 105 223
153 | 0 2 18 81 89 100 220
153 | 0 2 18 81 89 100 221
153 | 0 2 18 81 89 101 222
153 | 0 2 18 81 89 101 223
