63 | 0 2 12 76
63 | 0 2 12 77
63 | 0 2 13 78
63 | 0 2 13 79
73 | 0 2 24 46
73 | 0 2 24 47
72 | 0 2 25 46
72 | 0 2 25 47
62 | 0 3 12 76
62 | 0 3 12 77
62 | 0 3 13 78
62 | 0 3 13 79
69 | 0 3 24 46
69 | 0 3 24 47
68 | 0 3 25 46
68 | 0 3 25 47
65 | 0 3 28 46
65 | 0 3 28 47
64 | 0 3 29 46
64 | 0 3 29 47
73 | 0 10 12 60
73 | 0 10 12 61
72 | 0 10 13 60
72 | 0 10 13 61
36 | 0 10 24 34
37 | 0 10 24 35
38 | 0 10 25 34
39 | 0 10 25 35
30 | 0 10 25 36
31 | 0 10 25 37
64 | 0 10 29 70
64 | 0 10 29 71
20 | 0 10 32 38
21 | 0 10 32 39
20 | 0 10 33 36
21 | 0 10 33 37
75 | 0 10 36 58
67 | 0 10 36 68
74 | 0 10 37 58
73 | 0 10 37 61
66 | 0 10 37 68
65 | 0 10 37 71
74 | 0 10 39 59
66 | 0 10 39 69
68 | 0 11 13 60
68 | 0 11 13 61
38 | 0 11 25 30
39 | 0 11 25 31
21 | 0 11 29 37
65 | 0 11 32 74
65 | 0 11 32 75
64 | 0 11 33 74
64 | 0 11 33 75
71 | 0 11 36 58
67 | 0 11 36 72
70 | 0 11 37 58
69 | 0 11 37 61
66 | 0 11 37 72
65 | 0 11 37 75
70 | 0 11 39 59
66 | 0 11 39 73
67 | 0 29 34 45
64 | 0 29 34 46
66 | 0 29 35 45
64 | 0 29 35 47
56 | 1 3 12 76
56 | 1 3 12 77
56 | 1 3 13 78
56 | 1 3 13 79
68 | 1 3 19 46
68 | 1 3 19 47
73 | 1 10 12 66
73 | 1 10 12 67
72 | 1 10 13 66
72 | 1 10 13 67
38 | 1 10 19 34
39 | 1 10 19 35
73 | 1 10 24 66
73 | 1 10 24 67
72 | 1 10 25 66
72 | 1 10 25 67
27 | 1 10 33 37
74 | 1 10 37 64
73 | 1 10 37 67
60 | 1 10 37 68
59 | 1 10 37 71
74 | 1 10 39 65
60 | 1 10 39 69
68 | 1 11 13 66
68 | 1 11 13 67
69 | 1 11 24 66
69 | 1 11 24 67
68 | 1 11 25 66
68 | 1 11 25 67
59 | 1 11 32 74
59 | 1 11 32 75
58 | 1 11 33 74
58 | 1 11 33 75
70 | 1 11 37 64
69 | 1 11 37 67
60 | 1 11 37 72
59 | 1 11 37 75
70 | 1 11 39 65
60 | 1 11 39 73
