48 | 0 2 9 23 76
48 | 0 2 9 23 77
48 | 0 2 9 23 78
48 | 0 2 9 23 79
48 | 0 4 9 25 70
48 | 0 4 9 25 71
48 | 0 4 9 25 74
48 | 0 4 9 25 75
48 | 0 6 9 27 68
48 | 0 6 9 27 69
48 | 0 6 9 27 72
48 | 0 6 9 27 73
41 | 0 9 10 17 76
41 | 0 9 10 17 77
41 | 0 9 10 17 78
41 | 0 9 10 17 79
41 | 0 9 12 19 70
41 | 0 9 12 19 71
41 | 0 9 12 19 74
41 | 0 9 12 19 75
41 | 0 9 14 21 68
41 | 0 9 14 21 69
41 | 0 9 14 21 72
41 | 0 9 14 21 73
49 | 1 2 8 17 76
49 | 1 2 8 17 77
49 | 1 2 8 17 78
49 | 1 2 8 17 79
49 | 1 4 8 19 70
49 | 1 4 8 19 71
49 | 1 4 8 19 74
49 | 1 4 8 19 75
49 | 1 6 8 21 68
49 | 1 6 8 21 69
49 | 1 6 8 21 72
49 | 1 6 8 21 73
40 | 1 8 10 23 76
40 | 1 8 10 23 77
40 | 1 8 10 23 78
40 | 1 8 10 23 79
40 | 1 8 12 25 70
40 | 1 8 12 25 71
40 | 1 8 12 25 74
40 | 1 8 12 25 75
40 | 1 8 14 27 68
40 | 1 8 14 27 69
40 | 1 8 14 27 72
40 | 1 8 14 27 73
50 | 2 4 11 33 60
50 | 2 4 11 33 61
50 | 2 4 11 33 66
50 | 2 4 11 33 67
50 | 2 6 11 35 58
50 | 2 6 11 35 59
50 | 2 6 11 35 64
50 | 2 6 11 35 65
43 | 2 11 12 29 60
43 | 2 11 12 29 61
43 | 2 11 12 29 66
43 | 2 11 12 29 67
43 | 2 11 14 31 58
43 | 2 11 14 31 59
43 | 2 11 14 31 64
43 | 2 11 14 31 65
51 | 3 4 10 29 60
51 | 3 4 10 29 61
51 | 3 4 10 29 66
51 | 3 4 10 29 67
51 | 3 6 10 31 58
51 | 3 6 10 31 59
51 | 3 6 10 31 64
51 | 3 6 10 31 65
42 | 3 10 12 33 60
42 | 3 10 12 33 61
42 | 3 10 12 33 66
42 | 3 10 12 33 67
42 | 3 10 14 35 58
42 | 3 10 14 35 59
42 | 3 10 14 35 64
42 | 3 10 14 35 65
52 | 4 6 13 39 56
52 | 4 6 13 39 57
52 | 4 6 13 39 62
52 | 4 6 13 39 63
45 | 4 13 14 37 56
45 | 4 13 14 37 57
45 | 4 13 14 37 62
45 | 4 13 14 37 63
53 | 5 6 12 37 56
53 | 5 6 12 37 57
53 | 5 6 12 37 62
53 | 5 6 12 37 63
44 | 5 12 14 39 56
44 | 5 12 14 39 57
44 | 5 12 14 39 62
44 | 5 12 14 39 63
